kode,perusahaan,jumlah_saham,papan_pencatatan
AALI,Astra Agro Lestari Tbk.,1.924.688.333,UTAMA
ABBA,Mahaka Media Tbk.,2.755.125.000,Pengembangan
ABDA,Asuransi Bina Dana Arta Tbk.,620.806.680,PENGEMBANGAN
ABMM,ABM Investama Tbk.,2.753.165.000,Utama
ACES,Ace Hardware Indonesia Tbk.,17.150.000.000,Utama
ACST,Acset Indonusa Tbk.,12.675.160.000,Utama
ADES,Akasha Wira International Tbk.,589.896.800,PENGEMBANGAN
ADHI,Adhi Karya (Persero) Tbk.,3.560.849.376,Utama
ADMF,Adira Dinamika Multi Finance Tbk.,1.000.000.000,Utama
ADMG,Polychem Indonesia Tbk.,3.889.179.559,Utama
ADRO,Adaro Energy Tbk.,31.985.962.000,Utama
AGAR,Asia Sejahtera Mina Tbk.,1.000.000.000,Pengembangan
AGII,Aneka Gas Industri Tbk.,3.066.660.000,Utama
AGRO,Bank Raya Indonesia Tbk.,22.520.054.593,Utama
AGRS,Bank IBK Indonesia Tbk.,17.481.603.282,Pengembangan
AHAP,Asuransi Harta Aman Pratama Tbk.,2.940.000.000,Pengembangan
AIMS,Akbar Indo Makmur Stimec Tbk.,220.000.000,Pengembangan
AISA,FKS Food Sejahtera Tbk.,9.311.800.000,Utama
AKKU,Anugerah Kagum Karya Utama Tbk.,6.449.463.636,Pengembangan
AKPI,Argha Karya Prima Industry Tbk.,612.248.000,Pengembangan
AKRA,AKR Corporindo Tbk.,4.014.694.920,Utama
AKSI,Maming Enam Sembilan Mineral Tbk.,720.000.000,Pengembangan
ALDO,Alkindo Naratama Tbk.,1.316.160.936,Pengembangan
ALKA,Alakasa Industrindo Tbk.,507.665.055,Pengembangan
ALMI,Alumindo Light Metal Industry,616.000.000,Pengembangan
ALTO,Tri Banyan Tirta Tbk.,2.191.870.558,Utama
AMAG,Asuransi Multi Artha Guna Tbk.,5.001.552.516,Pengembangan
AMAN,Makmur Berkah Amanda Tbk.,3.873.500.000,Utama
AMAR,Bank Amar Indonesia Tbk.,7.954.749.000,Pengembangan
AMFG,Asahimas Flat Glass Tbk.,434.000.000,Utama
AMIN,Ateliers Mecaniques D Indonesia,1.080.000.000,Pengembangan
AMOR,Ashmore Asset Management Indonesia,2.222.222.400,Pengembangan
AMRT,Sumber Alfaria Trijaya Tbk.,41.524.501.700,Utama
ANDI,Andira Agro Tbk.,9.350.000.000,Pengembangan
ANJT,Austindo Nusantara Jaya Tbk.,3.354.175.000,Utama
ANTM,Aneka Tambang Tbk.,24.030.764.725,Utama
APEX,Apexindo Pratama Duta Tbk.,2.659.850.000,Pengembangan
APIC,Pacific Strategic Financial Tbk.,11.766.313.488,Pengembangan
APII,Arita Prima Indonesia Tbk.,1.075.760.000,Pengembangan
APLI,Asiaplast Industries Tbk.,1.362.671.400,Utama
APLN,Agung Podomoro Land Tbk.,22.699.326.779,Utama
ARCI,Archi Indonesia Tbk.,24.835.000.000,Utama
ARGO,Argo Pantes Tbk.,335.557.450,Pengembangan
ARII,Atlas Resources Tbk.,3.131.000.000,Pengembangan
ARKA,Arkha Jayanti Persada Tbk.,2.000.000.000,Pengembangan
ARMY,Armidian Karyatama Tbk.,9.006.250.000,Pengembangan
ARNA,Arwana Citramulia Tbk.,7.341.430.976,UTAMA
ARTA,Arthavest Tbk.,446.674.175,PENGEMBANGAN
ARTI,Ratu Prabu Energi Tbk.,7.840.000.000,Utama
ARTO,Bank Jago Tbk.,13.717.687.500,Pengembangan
ASBI,Asuransi Bintang Tbk.,348.386.472,Pengembangan
ASDM,Asuransi Dayin Mitra Tbk.,192.000.000,Utama
ASGR,Astra Graphia Tbk.,1.348.780.500,Utama
ASII,Astra International Tbk.,40.483.553.140,Utama
ASJT,Asuransi Jasa Tania Tbk.,1.288.890.696,Pengembangan
ASMI,Asuransi Maximus Graha Persada,8.958.380.460,Utama
ASPI,Andalan Sakti Primaindo Tbk.,681.794.825,Pengembangan
ASRI,Alam Sutera Realty Tbk.,19.649.411.888,Utama
ASRM,Asuransi Ramayana Tbk.,304.283.840,PENGEMBANGAN
ASSA,Adi Sarana Armada Tbk.,3.561.728.066,Utama
ATAP,Trimitra Prawara Goldland Tbk.,1.250.000.000,Pengembangan
ATIC,Anabatic Technologies Tbk.,2.315.361.355,Utama
AUTO,Astra Otoparts Tbk.,4.819.733.000,UTAMA
AVIA,Avia Avian Tbk.,61.953.555.600,Utama
AYLS,Agro Yasa Lestari Tbk.,853.423.236,PENGEMBANGAN
BABP,Bank MNC Internasional Tbk.,29.117.431.084,Pengembangan
BACA,Bank Capital Indonesia Tbk.,7.007.631.739,Pengembangan
BAJA,Saranacentral Bajatama Tbk.,1.800.000.000,Pengembangan
BALI,Bali Towerindo Sentra Tbk.,3.934.592.500,Utama
