code,company_name,keyword
AALI,PT Astra Agro Lestari Tbk,astra agro lestari
ABBA,PT Mahaka Media Tbk,mahaka media
ABDA,PT Asuransi Bina Dana Arta Tbk,asuransi bina dana arta
ABMM,PT ABM Investama Tbk,abm investama
ACES,PT Ace Hardware Indonesia Tbk,ace hardware indonesia
ACST,PT Acset Indonusa Tbk,acset indonusa
ADES,PT Akasha Wira International Tbk,akasha wira international
ADHI,PT Adhi Karya,adhi karya
ADMF,PT Adira Dinamika Multi Finance Tbk,adira dinamika multi finance
ADMG,PT. Polychem Indonesia Tbk,pt. polychem indonesia
ADRO,PT Adaro Energy Tbk,adaro energy
AGAR,PT Asia Sejahtera Mina Tbk,asia sejahtera mina
AGII,PT Aneka Gas Industri Tbk,aneka gas industri
AGRO,PT Bank Rakyat Indonesia Agroniaga Tbk,bank rakyat indonesia agroniaga;bank raya indonesia
AGRS,PT Bank IBK Indonesia Tbk,bank ibk indonesia
AHAP,PT Asuransi Harta Aman Pratama Tbk,asuransi harta aman pratama
AIMS,PT Akbar Indo Makmur Stimec Tbk,akbar indo makmur stimec
AISA,PT FKS Food Sejahtera Tbk,fks food sejahtera
AKKU,PT Anugerah Kagum Karya Utama Tbk,anugerah kagum karya utama
AKPI,PT Argha Karya Prima Industry Tbk,argha karya prima industry
AKRA,PT AKR Corporindo Tbk,akr corporindo
AKSI,PT Maming Enam Sembilan Mineral Tbk,maming enam sembilan mineral
ALDO,PT Alkindo Naratama Tbk,alkindo naratama
ALKA,PT Alakasa Industrindo Tbk,alakasa industrindo
ALMI,PT Alumindo Light Metal Industry Tbk,alumindo light metal industry
ALTO,PT Tri Banyan Tirta Tbk,tri banyan tirta
AMAG,PT Asuransi Multi Artha Guna Tbk,asuransi multi artha guna
AMAN,PT Makmur Berkah Amanda Tbk,makmur berkah amanda
AMAR,PT Bank Amar Indonesia Tbk,bank amar indonesia;amar bank
AMFG,PT Asahimas Flat Glass Tbk,asahimas flat glass
AMIN,PT Ateliers Mecaniques D'Indonesie Tbk,ateliers mecaniques d'indonesie
AMOR,PT Ashmore Asset Management Indonesia Tbk,ashmore asset management indonesia
AMRT,PT Sumber Alfaria Trijaya Tbk,sumber alfaria trijaya
ANDI,PT Andira Agro Tbk,andira agro
ANJT,PT Austindo Nusantara Jaya Tbk,austindo nusantara jaya
ANTM,PT Aneka Tambang Tbk,aneka tambang
APEX,PT Apexindo Pratama Duta Tbk,apexindo pratama duta
APIC,PT Pacific Strategic Financial Tbk,pacific strategic financial
APII,PT Arita Prima Indonesia Tbk,arita prima indonesia
APLI,PT Asiaplast Industries Tbk,asiaplast industries
APLN,PT Agung Podomoro Land Tbk,agung podomoro land
ARCI,PT Archi Indonesia Tbk,archi indonesia
