,nama_perusahaan
PT Bank Mandiri,19481
PT Bank Rakyat Indonesia,15500
PT Bank Central Asia Tbk,10934
PT Bank Negara Indonesia,10929
PT Aneka Tambang Tbk,7141
PT Astra International Tbk,7002
PT Bank Tabungan Negara,6121
PT Garuda Indonesia,5453
PT Gudang Garam Tbk,5285
PT Perusahaan Gas Negara Tbk,4652
PT United Tractors Tbk,4621
Perusahaan Perseroan,4604
PT Jasa Marga,4315
PT Unilever Indonesia Tbk,4254
PT Bukit Asam Tbk,4036
PT Bumi Resources Tbk,3647
PT Indo Tambangraya Megah Tbk,3495
PT Wijaya Karya,3373
PT Bank Permata Tbk,3304
PT Semen Indonesia,3293
PT Astra Agro Lestari Tbk,3086
PT Bank CIMB Niaga Tbk,3000
PT Indocement Tunggal Prakarsa Tbk,2930
PT TIMAH Tbk,2908
PT Indosat Tbk,2710
PT Adhi Karya,2698
PT Waskita Karya,2539
PT Bank Mega Tbk,2518
PT PP,2490
PT Hanjaya Mandala Sampoerna Tbk,2385
PT Adaro Energy Tbk,2281
PT Bank Danamon Indonesia Tbk,2171
PT Krakatau Steel,2004
PT Indofood Sukses Makmur Tbk,1933
PT Kalbe Farma Tbk,1723
PT Vale Indonesia Tbk,1722
PT Charoen Pokphand Indonesia Tbk,1661
PT XL Axiata Tbk,1546
PT Indofood CBP Sukses Makmur Tbk,1387
PT Bumi Serpong Damai Tbk,1320
PT Bank OCBC NISP Tbk,1307
PT Kimia Farma,1249
PT Mayora Indah Tbk,1240
PT Matahari Department Store Tbk,1230
PT Medco Energi Internasional Tbk,1200
PT Media Nusantara Citra Tbk,1141
PT Chandra Asri Petrochemical Tbk,1062
PT Lippo Karawaci Tbk,1045
PT AKR Corporindo Tbk,1031
PT Bank BTPN Tbk,1018
PT Sarana Menara Nusantara Tbk,1017
PT Panin Sekuritas Tbk,976
PT Bank Syariah Indonesia Tbk,968
PT Elang Mahkota Teknologi Tbk,957
PT Bank Maybank Indonesia Tbk,904
PT Bukalapak.com Tbk,896
PT Barito Pacific Tbk,883
PT Bakrie & Brothers Tbk,874
PT Indofarma Tbk,874
PT Surya Citra Media Tbk,833
PT Adira Dinamika Multi Finance Tbk,830
PT Indah Kiat Pulp & Paper Tbk,821
PT Bayan Resources Tbk,794
PT Energi Mega Persada Tbk,791
PT Tower Bersama Infrastructure Tbk,758
PT Indika Energy Tbk,726
PT Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,713
PT Elnusa Tbk,709
PT Multi Bintang Indonesia Tbk,705
PT Global Mediacom Tbk,675
PT Bank Mayapada Internasional Tbk,674
PT Bakrieland Development Tbk,673
PT Bank MNC Internasional Tbk,648
PT Dian Swastatika Sentosa Tbk,647
PT Mitra Adiperkasa Tbk,646
PT Reliance Sekuritas Indonesia Tbk,643
PT Harum Energy Tbk,634
PT Delta Djakarta Tbk,631
PT Bakrie Telecom Tbk,622
PT Merdeka Copper Gold Tbk,620
PT Merck Tbk,601
PT Pakuwon Jati Tbk,578
PT Semen Baturaja,575
PT Matahari Putra Prima Tbk,555
PT Sumber Alfaria Trijaya Tbk,536
PT Bakrie Sumatera Plantations Tbk,534
PT Indomobil Sukses Internasional Tbk,533
PT Blue Bird Tbk,532
PT Capital Financial Indonesia Tbk,530
PT Bank Pembangunan Daerah Jawa Timur Tbk,519
PT Pabrik Kertas Tjiwi Kimia Tbk,516
PT Mitra Keluarga Karyasehat Tbk,511
PT Ace Hardware Indonesia Tbk,502
PT Siloam International Hospitals Tbk,496
PT Ciputra Development Tbk,477
PT Bank Pembangunan Daerah Banten Tbk,477
PT BFI Finance Indonesia Tbk,474
PT Saratoga Investama Sedaya Tbk,472
PT Smartfren Telecom Tbk,461
PT Agung Podomoro Land Tbk,457
